recipe_id,ingredient_id,quantity
b2c3d4e5-f6a7-8901-2345-67890abcdef0,f1e2d3c4-1111-4222-8333-aaaaaaaaaaaa,1
b2c3d4e5-f6a7-8901-2345-67890abcdef0,e2d3c4b5-2222-4333-8444-bbbbbbbbbbbb,2
11111111-2222-4333-8444-555555555555,d3c4b5a6-3333-4444-8555-cccccccccccc,1
11111111-2222-4333-8444-555555555555,e2d3c4b5-2222-4333-8444-bbbbbbbbbbbb,3
66666666-7777-4888-8999-000000000000,0fc21cc1-33b2-45d1-abe6-3e8d34fc75d7,1
66666666-7777-4888-8999-000000000000,a4b5c6d7-4444-4555-8666-dddddddddddd,1
r1000000-0000-4000-8000-000000000001,b1000000-0000-4000-8000-000000000001,1
r1000000-0000-4000-8000-000000000001,b1000000-0000-4000-8000-000000000002,2
r1000000-0000-4000-8000-000000000001,f1e2d3c4-1111-4222-8333-aaaaaaaaaaaa,1
r1000000-0000-4000-8000-000000000001,e2d3c4b5-2222-4333-8444-bbbbbbbbbbbb,2
r1000000-0000-4000-8000-000000000001,d3c4b5a6-3333-4444-8555-cccccccccccc,1
r1000000-0000-4000-8000-000000000001,a4b5c6d7-4444-4555-8666-dddddddddddd,1
r1000000-0000-4000-8000-000000000001,b1000000-0000-4000-8000-000000000003,1
r1000000-0000-4000-8000-000000000001,b1000000-0000-4000-8000-000000000004,1
r1000000-0000-4000-8000-000000000002,b1000000-0000-4000-8000-000000000005,2
r1000000-0000-4000-8000-000000000002,b1000000-0000-4000-8000-000000000006,1
r1000000-0000-4000-8000-000000000002,b1000000-0000-4000-8000-000000000007,1
r1000000-0000-4000-8000-000000000002,e2d3c4b5-2222-4333-8444-bbbbbbbbbbbb,2
r1000000-0000-4000-8000-000000000002,a4b5c6d7-4444-4555-8666-dddddddddddd,1
r1000000-0000-4000-8000-000000000002,b1000000-0000-4000-8000-000000000004,1
r1000000-0000-4000-8000-000000000002,b1000000-0000-4000-8000-000000000008,1
r1000000-0000-4000-8000-000000000002,b1000000-0000-4000-8000-000000000009,1
r1000000-0000-4000-8000-000000000003,b1000000-0000-4000-8000-000000000010,2
r1000000-0000-4000-8000-000000000003,b1000000-0000-4000-8000-000000000011,1
r1000000-0000-4000-8000-000000000003,b1000000-0000-4000-8000-000000000012,2
r1000000-0000-4000-8000-000000000003,b1000000-0000-4000-8000-000000000013,1
r1000000-0000-4000-8000-000000000003,0fc21cc1-33b2-45d1-abe6-3e8d34fc75d7,1
r1000000-0000-4000-8000-000000000004,b2000000-0000-4000-8000-000000000001,1
r1000000-0000-4000-8000-000000000004,b1000000-0000-4000-8000-000000000002,2
r1000000-0000-4000-8000-000000000004,b1000000-0000-4000-8000-000000000003,1
r1000000-0000-4000-8000-000000000004,a4b5c6d7-4444-4555-8666-dddddddddddd,1
r1000000-0000-4000-8000-000000000004,d3c4b5a6-3333-4444-8555-cccccccccccc,1
r1000000-0000-4000-8000-000000000004,e2d3c4b5-2222-4333-8444-bbbbbbbbbbbb,1
r1000000-0000-4000-8000-000000000004,b2000000-0000-4000-8000-000000000017,1
r1000000-0000-4000-8000-000000000005,b2000000-0000-4000-8000-000000000002,2
r1000000-0000-4000-8000-000000000005,b2000000-0000-4000-8000-000000000020,1
r1000000-0000-4000-8000-000000000005,b2000000-0000-4000-8000-000000000003,1
r1000000-0000-4000-8000-000000000005,f1e2d3c4-1111-4222-8333-aaaaaaaaaaaa,1
r1000000-0000-4000-8000-000000000005,e2d3c4b5-2222-4333-8444-bbbbbbbbbbbb,1
r1000000-0000-4000-8000-000000000005,a4b5c6d7-4444-4555-8666-dddddddddddd,1
r1000000-0000-4000-8000-000000000006,b2000000-0000-4000-8000-000000000004,2
r1000000-0000-4000-8000-000000000006,e2d3c4b5-2222-4333-8444-bbbbbbbbbbbb,1
r1000000-0000-4000-8000-000000000006,b2000000-0000-4000-8000-000000000024,1
r1000000-0000-4000-8000-000000000006,b2000000-0000-4000-8000-000000000017,1
r1000000-0000-4000-8000-000000000006,b2000000-0000-4000-8000-000000000012,1
r1000000-0000-4000-8000-000000000006,a4b5c6d7-4444-4555-8666-dddddddddddd,1
r1000000-0000-4000-8000-000000000007,b2000000-0000-4000-8000-000000000005,2
r1000000-0000-4000-8000-000000000007,b2000000-0000-4000-8000-000000000006,1
r1000000-0000-4000-8000-000000000007,b2000000-0000-4000-8000-000000000007,1
r1000000-0000-4000-8000-000000000007,b1000000-0000-4000-8000-000000000004,1
r1000000-0000-4000-8000-000000000007,b1000000-0000-4000-8000-000000000002,2
r1000000-0000-4000-8000-000000000007,b2000000-0000-4000-8000-000000000017,1
r1000000-0000-4000-8000-000000000008,b2000000-0000-4000-8000-000000000008,1
r1000000-0000-4000-8000-000000000008,b2000000-0000-4000-8000-000000000024,2
r1000000-0000-4000-8000-000000000008,b1000000-0000-4000-8000-000000000006,1
r1000000-0000-4000-8000-000000000008,b1000000-0000-4000-8000-000000000004,1
r1000000-0000-4000-8000-000000000008,b1000000-0000-4000-8000-000000000002,2
r1000000-0000-4000-8000-000000000008,a4b5c6d7-4444-4555-8666-dddddddddddd,1
r1000000-0000-4000-8000-000000000009,b2000000-0000-4000-8000-000000000010,2
r1000000-0000-4000-8000-000000000009,b2000000-0000-4000-8000-000000000009,1
r1000000-0000-4000-8000-000000000009,b1000000-0000-4000-8000-000000000004,1
r1000000-0000-4000-8000-000000000009,b1000000-0000-4000-8000-000000000008,1
r1000000-0000-4000-8000-000000000009,a4b5c6d7-4444-4555-8666-dddddddddddd,1
r1000000-0000-4000-8000-000000000009,b2000000-0000-4000-8000-000000000023,1
r1000000-0000-4000-8000-000000000010,b1000000-0000-4000-8000-000000000010,1
r1000000-0000-4000-8000-000000000010,b1000000-0000-4000-8000-000000000012,2
r1000000-0000-4000-8000-000000000010,b1000000-0000-4000-8000-000000000013,1
r1000000-0000-4000-8000-000000000010,b1000000-0000-4000-8000-000000000011,1
r1000000-0000-4000-8000-000000000010,b2000000-0000-4000-8000-000000000019,1
r1000000-0000-4000-8000-000000000010,b2000000-0000-4000-8000-000000000018,1
r1000000-0000-4000-8000-000000000011,b2000000-0000-4000-8000-000000000002,2
r1000000-0000-4000-8000-000000000011,b2000000-0000-4000-8000-000000000021,2
r1000000-0000-4000-8000-000000000011,b2000000-0000-4000-8000-000000000005,1
r1000000-0000-4000-8000-000000000011,b2000000-0000-4000-8000-000000000003,1
r1000000-0000-4000-8000-000000000011,e2d3c4b5-2222-4333-8444-bbbbbbbbbbbb,1
r1000000-0000-4000-8000-000000000011,b1000000-0000-4000-8000-000000000003,1
r1000000-0000-4000-8000-000000000012,b2000000-0000-4000-8000-000000000014,2
r1000000-0000-4000-8000-000000000012,e2d3c4b5-2222-4333-8444-bbbbbbbbbbbb,2
r1000000-0000-4000-8000-000000000012,b1000000-0000-4000-8000-000000000009,1
r1000000-0000-4000-8000-000000000012,a4b5c6d7-4444-4555-8666-dddddddddddd,1
r1000000-0000-4000-8000-000000000012,b1000000-0000-4000-8000-000000000004,1
r1000000-0000-4000-8000-000000000013,b2000000-0000-4000-8000-000000000013,1
r1000000-0000-4000-8000-000000000013,b1000000-0000-4000-8000-000000000002,2
r1000000-0000-4000-8000-000000000013,b2000000-0000-4000-8000-000000000004,2
r1000000-0000-4000-8000-000000000013,b1000000-0000-4000-8000-000000000004,1
r1000000-0000-4000-8000-000000000013,b2000000-0000-4000-8000-000000000024,1
r1000000-0000-4000-8000-000000000013,a4b5c6d7-4444-4555-8666-dddddddddddd,1
r1000000-0000-4000-8000-000000000014,b2000000-0000-4000-8000-000000000015,2
r1000000-0000-4000-8000-000000000014,b2000000-0000-4000-8000-000000000022,1
r1000000-0000-4000-8000-000000000014,b2000000-0000-4000-8000-000000000011,1
r1000000-0000-4000-8000-000000000014,e2d3c4b5-2222-4333-8444-bbbbbbbbbbbb,1
r1000000-0000-4000-8000-000000000014,b2000000-0000-4000-8000-000000000023,1
r1000000-0000-4000-8000-000000000014,b1000000-0000-4000-8000-000000000004,1
r1000000-0000-4000-8000-000000000014,a4b5c6d7-4444-4555-8666-dddddddddddd,1
r1000000-0000-4000-8000-000000000015,b1000000-0000-4000-8000-000000000001,1
r1000000-0000-4000-8000-000000000015,b2000000-0000-4000-8000-000000000002,2
r1000000-0000-4000-8000-000000000015,f1e2d3c4-1111-4222-8333-aaaaaaaaaaaa,1
r1000000-0000-4000-8000-000000000015,b2000000-0000-4000-8000-000000000012,1
r1000000-0000-4000-8000-000000000015,b1000000-0000-4000-8000-000000000003,1
r1000000-0000-4000-8000-000000000015,b1000000-0000-4000-8000-000000000004,1
r1000000-0000-4000-8000-000000000015,a4b5c6d7-4444-4555-8666-dddddddddddd,1
r1000000-0000-4000-8000-000000000016,b2000000-0000-4000-8000-000000000016,1
r1000000-0000-4000-8000-000000000016,b2000000-0000-4000-8000-000000000011,2
r1000000-0000-4000-8000-000000000016,b1000000-0000-4000-8000-000000000003,1
r1000000-0000-4000-8000-000000000016,b1000000-0000-4000-8000-000000000004,1
r1000000-0000-4000-8000-000000000016,a4b5c6d7-4444-4555-8666-dddddddddddd,1
r1000000-0000-4000-8000-000000000016,b2000000-0000-4000-8000-000000000017,1
r1000000-0000-4000-8000-000000000017,b1000000-0000-4000-8000-000000000005,2
r1000000-0000-4000-8000-000000000017,b2000000-0000-4000-8000-000000000017,2
